20201_ART.html,ART     105KY,L&S,4.0,Letter,F,12:00pm - 3:50pm,ARTS 0641,15 / 15
20201_ART.html,ART     105TD,L&S,4.0,Letter,T R,9:00 am - 11:50am,ARTS 0641,14 / 14
20201_ART.html,ART     106W,L&S,4.0,Optional,M W,8:00 am - 10:50am,ARTS 1332,10 / 10
20201_ART.html,ART     110,L&S,4.0,Optional,T R,1:00pm - 3:50pm,ARTS 2235,14 / 14
20201_ART.html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,M W,11:00am - 12:50pm,CRST 136,8 / 15
20201_ART.html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,W,9:00 am - 12:50pm,CRST 120,5 / 10
20201_ART.html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,M W,1:00pm - 2:15pm,CRST 136,7 / 12
20201_ART.html,ART     117,L&S,4.0,Optional,M W,1:00pm - 3:50pm,ARTS 2636,19 / 18
20201_ART.html,ART     120EF,L&S,4.0,Optional,M W,9:00 am - 11:50am,ARTS 1237,18 / 18
20201_ART.html,ART     130,L&S,4.0,Optional,R,2:00pm - 4:50pm,ARTS 1344,23 / 25
20201_ART.html,ART     132,L&S,4.0,Optional,F,10:00am - 1:50pm,ARTS 2220,14 / 14
20201_ART.html,ART     192ES,L&S,1.0 - 4.0,Pass/No Pass,N/A,N/A,N/A,0 / 0
20201_ART.html,ART     192IA,L&S,1.0 - 4.0,Pass/No Pass,N/A,N/A,N/A,0 / 0
20201_ART.html,ART     196,L&S,4.0,Letter,W,1:00pm - 3:50pm,ARTS 1352,0 / 8
20201_ART.html,ART     199,L&S,1.0 - 5.0,Letter,N/A,N/A,N/A,0 / 0
20201_ART.html,ART     199RA,L&S,1.0 - 5.0,Letter,N/A,N/A,N/A,0 / 0
20201_ART  CS .html,ART  CS 101,CRST,1.0 - 6.0,Pass/No Pass,M,9:00 am - 12:50pm,CRST 120,10 / 10
20201_ART  CS .html,ART  CS 104,CRST,1.0 - 6.0,Pass/No Pass,W,1:00pm - 4:20pm,CRST 107,10 / 10
20201_ART  CS .html,ART  CS 105,CRST,1.0 - 6.0,Pass/No Pass,W,5:00pm - 8:50pm,CRST 107,0 / 10
20201_ART  CS .html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,M W,11:00am - 12:50pm,CRST 136,8 / 15
20201_ART  CS .html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,W,9:00 am - 12:50pm,CRST 120,5 / 10
20201_ART  CS .html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,M W,1:00pm - 2:15pm,CRST 136,7 / 12
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M W,9:30 am - 10:45am,MUSICLLCH,400 / 400
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,3:00pm - 3:50pm,387  1011,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,F,12:00pm - 12:50pm,HSSB 1228,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,11:00am - 11:50am,BUCHN1934,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,12:00pm - 12:50pm,GIRV 2119,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,F,10:00am - 10:50am,SH   1609,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,R,9:00 am - 9:50 am,GIRV 1112,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,1:00pm - 1:50pm,KERR 2166B,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,2:00pm - 2:50pm,KERR 2166B,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,W,12:00pm - 12:50pm,PHELP2516,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,F,12:00pm - 12:50pm,GIRV 2120,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,F,11:00am - 11:50am,HSSB 2251,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,F,9:00 am - 9:50 am,GIRV 1119,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,11:00am - 11:50am,GIRV 2116,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,W,2:00pm - 2:50pm,NH   1109,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,T,8:00 am - 8:50 am,HSSB 1232,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,4:00pm - 4:50pm,GIRV 2119,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,T R,12:30pm - 1:45pm,EMBARHALL,247 / 247
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,T,9:00 am - 9:50 am,NH   1109,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,W,1:00pm - 1:50pm,PHELP2516,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,M,10:00am - 10:50am,BUCHN1934,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,W,9:00 am - 9:50 am,GIRV 2127,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,W,3:00pm - 3:50pm,GIRV 2120,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,T,2:00pm - 2:50pm,387  1015,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,M,2:00pm - 2:50pm,GIRV 2129,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,W,12:00pm - 12:50pm,PHELP1508,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,T,3:00pm - 3:50pm,GIRV 1119,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,F,9:00 am - 9:50 am,GIRV 2123,22 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,T R,5:00pm - 6:15pm,EMBARHALL,200 / 225
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,M,1:00pm - 1:50pm,PHELP2532,24 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,M,2:00pm - 2:50pm,KERR 2166A,23 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,M,3:00pm - 3:50pm,HSSB 1233,21 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,M,4:00pm - 4:50pm,HSSB 1223,23 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,F,10:00am - 10:50am,HSSB 1232,20 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,F,11:00am - 11:50am,HSSB 1233,16 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,T,2:00pm - 2:50pm,387  1011,24 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,T,3:00pm - 3:50pm,GIRV 1115,25 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,W,1:00pm - 1:50pm,PHELP2524,24 / 25
20201_ANTH.html,ANTH      9,L&S,4.0,Optional,T R,9:30 am - 10:45am,PHELP1525,24 / 25
20201_ANTH.html,ANTH     99,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 10
20201_ANTH.html,ANTH    121,L&S,4.0,Optional,M W,3:30pm - 4:45pm,HSSB 1173,86 / 75
20201_ANTH.html,ANTH    121,L&S,4.0,Optional,M,1:00pm - 1:50pm,HSSB 1021,27 / 25
20201_ANTH.html,ANTH    121,L&S,4.0,Optional,M,2:00pm - 2:50pm,HSSB 1021,31 / 25
20201_ANTH.html,ANTH    121,L&S,4.0,Optional,W,12:00pm - 12:50pm,HSSB 1021,28 / 25
20201_ANTH.html,ANTH    129,L&S,4.0,Letter,T R,11:00am - 12:15pm,HSSB 2001A,35 / 35
20201_ANTH.html,ANTH    130,L&S,4.0,Optional,T R,2:00pm - 3:15pm,GIRV 2115,43 / 40
20201_ANTH.html,ANTH    131CA,L&S,4.0,Optional,M W,11:00am - 12:15pm,HSSB 1173,70 / 75
20201_ANTH.html,ANTH    135,L&S,4.0,Optional,M W,5:00pm - 6:15pm,BUCHN1934,27 / 25
20201_ANTH.html,ANTH    171,L&S,4.0,Letter,T R,12:30pm - 1:45pm,BUCHN1940,100 / 100
20201_ANTH.html,ANTH    176,L&S,4.0,Letter,M W,5:00pm - 6:15pm,EMBARHALL,57 / 60

20201_ANTH.html,ANTH    182,L&S,4.0,Letter,M W,9:30 am - 10:45am,PHELP1513,25 / 25
20201_ANTH.html,ANTH    182M,L&S,4.0,Letter,T R,11:00am - 12:15pm,HSSB 1214,25 / 25

20201_ANTH.html,ANTH    186Z,L&S,4.0,Optional,M W,11:00am - 12:15pm,HSSB 1021,16 / 15

20201_ANTH.html,ANTH    194P,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 10
20201_ANTH.html,ANTH    195B,L&S,4.0,Letter,N/A,N/A,N/A,0 / 10
20201_ANTH.html,ANTH    195C,L&S,4.0,Letter,N/A,N/A,N/A,0 / 10
20201_ANTH.html,ANTH    197JH,L&S,4.0,Optional,M,1:00pm - 3:50pm,HSSB 2001A,5 / 15
20201_ANTH.html,ANTH    198,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 15
20201_ANTH.html,ANTH    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 20
20201_ANTH.html,ANTH    199RA,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 10
